score,s1,s2
0.9310,"This course studies the standard models for the layered approach to communication between autonomous machines in a network, and the main characteristics of data transmission across various physical link types.",Computational Methods for Network Science covers the essentials of using computational approaches to pose and answer social science research problems.
0.9461,"It considers how to design networks and protocols for diverse situations, analyses several application and support protocols from a distributed systems viewpoint, and identifies significant problem areas in networked communications.","Analyze results from network algorithms, and articulate their limitations."
0.9216,"Topics include: communication network architectures, signalling and modulation across physical media, real-world local and wide-area networks, internet protocol fundamentals, performance and monitoring of networks, routing, network security, and application protocols for distributed systems including web, email, video, internet-of-everything and other contemporary network topics.","This includes random graph models, homophily and friendship paradox, influence and contagion in networks, markets and network games, network resilence."
0.9262,Understand and describe the layered protocol model.,"Analyze results from network algorithms, and articulate their limitations."
0.9205,"Describe, analyse and compare a number of datalink, network, and transport layer protocols.","Analyze results from network algorithms, and articulate their limitations."
0.9029,Program network communication services for client/server and other application layouts.,Communicate the process of formulating and solving computational social science problems to a team of professionals with computing and/or social sciences.
0.9426,"Describe and analyse various related technical, administrative and social aspects of specific computer network protocols from standards documents and other primary materials found through research.",Communicate the process of formulating and solving computational social science problems to a team of professionals with computing and/or social sciences.
0.8959,"Design and/or analyse networks and services for homes, data centres, IoT/IoE, LANs and WANs.",Communicate the process of formulating and solving computational social science problems to a team of professionals with computing and/or social sciences.
