score,s1,s2
0.9007,A practically oriented introduction to programming paradigms for parallel computers.,Express reasoning problems using first order logical notation.
0.9040,"Considers definitions of program efficiency on parallel computers, addresses the modelling, analysis and measurement of program performance.",Critically assess and compare philosophical views on issues arising from elementary logic.
0.8800,"Description, implementation and use of parallel programming languages, parallel features of operating systems, library routines and applications.",Construct natural deduction proofs in first order logic and translate between calculi.
0.8843,Be proficient at programming multiple parallel machines in more than one special programming language or programming system.,Construct natural deduction proofs in first order logic and translate between calculi.
0.8970,Be able to descriptively compare the performance of different programs and methods on one machine,Construct natural deduction proofs in first order logic and translate between calculi.
0.9168,Demonstrate advanced knowledge of the elements of parallel programming language and system implementation.,Express reasoning problems using first order logical notation.
0.9161,Recall the history of parallel systems and describe the developments in the field.,Critically assess and compare philosophical views on issues arising from elementary logic.
