score,s1,s2
0.8590,"An introductory course in formal logic, dealing with propositional and predicate logic.","Employ research, critical thinking and reflection to formulate and communicate an argument concerning project management concepts."
0.9077,Techniques of formal deduction and tests for the validity of arguments will be studied.,"Employ research, critical thinking and reflection to formulate and communicate an argument concerning project management concepts."
0.8859,Basic semantic concepts will be discussed.,Many of the skills gained are of use outside formal project management environments.
0.9020,Express reasoning problems using first order logical notation.,"Employ research, critical thinking and reflection to formulate and communicate an argument concerning project management concepts."
0.8825,Construct natural deduction proofs in first order logic and translate between calculi.,"Employ research, critical thinking and reflection to formulate and communicate an argument concerning project management concepts."
0.8927,Explain the relationship between rules of deduction and the semantics of logic.,"Employ research, critical thinking and reflection to formulate and communicate an argument concerning project management concepts."
0.9355,Critically assess and compare philosophical views on issues arising from elementary logic.,"Employ research, critical thinking and reflection to formulate and communicate an argument concerning project management concepts."
