score,s1,s2
0.8577,"Real-world data are commonly messy, distributed, and heterogeneous.",Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.
0.9258,"This course introduces core concepts of data cleaning, standardisation, and data integration, that are aimed at converting and mapping raw data into other formats that allow more efficient and convenient use and analysis of data. The courses also discusses data quality, management, and storage issues as relevant to data analytics.",Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.
0.9056,"Critically reflect upon different data sources, types, formats and structures.",Understand the main principles and concepts in at least two areas of computer science that are being actively shaped by research.
0.8992,"Justify and apply data cleaning, preprocessing, and standardisation for data analytics.",Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.
0.8916,Apply data integration concepts and techniques to heterogeneous and distributed data.,Have an understanding of the research methods being employed in these areas.
0.8957,"Interpret, assess and discuss data quality measurements.",Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.
0.9165,"Understand and be able to use advanced data wrangling, data integration, and database techniques as relevant to data analytics.",Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.
