score,s1,s2
0.8999,"This course provides foundations and plenty of exercises in practical optimisation problems, while covering all basic elements of optimisation including forms of constraint programming as well as variations on linear programming and convex optimisation.",Understand the main principles and concepts in at least two areas of computer science that are being actively shaped by research.
0.8824,Be able to apply Linear Programming and Mixed-Integer Programming model to solve real-world problems.,This course provides students with hands-on experience of being a researcher in the computing discipline.
0.8946,Be able to recognize and formulate convex optimization problems arising in practice.,Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.
0.9165,Demonstrate an understanding of theoretical foundations of convex optimization and be able to use it to characterize optimal solutions to general problems.,Understand the main principles and concepts in at least two areas of computer science that are being actively shaped by research.
0.8813,Be able to define an appropriate local search neighbourhood for a given problem.,Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.
0.8973,Be able to use a variety of meta-heuristics to escape local minima in a neighbourhood.,Have a basis of the knowledge and skills in research projects that can be built upon for more substantial projects.
0.8819,Demonstrate an understanding of the propagation of a global constraint in a Constraint programming system.,Understand the main principles and concepts in at least two areas of computer science that are being actively shaped by research.
